id,name,box_qty,strip_qty,box_purchase,strip_purchase,cost_box,cost_strip,cost_total
195,اوتريفين للكبار نقط للانف,9,9,17.62,17.62,158.58,158.58,317.16
440,اوتوكورت نقط,2,2,17.94,17.94,35.88,35.88,71.76
424,اوجرام 1 جم,0,0,104.53,52.26,0.00,0.00,0.00
2014,اوجرام 1جم اقراص,2,2,57.68,57.68,115.36,115.36,230.72
1969,اوجرام 228.5مجم شرلب,1,1,42.00,42.00,42.00,42.00,84.00
888,اوجرام457 5مللي شراب,1,1,49.19,49.19,49.19,49.19,98.38
188,اوجمنتين 1جم اقراص,3,5,154.18,77.09,462.54,385.45,847.99
1864,اوجمنتين 457 مجم شراب,1,1,100.83,100.83,100.83,100.83,201.66
194,اوجمنتين 625 جرام اقراص,0,0,85.90,85.90,0.00,0.00,0.00
858,اوجمنتين اي اس600,5,5,121.68,121.68,608.40,608.40,1216.80
1708,اوجوبليك قطره,1,1,15.12,15.12,15.12,15.12,30.24
437,اورا زد غرغره,0,0,17.00,17.00,0.00,0.00,0.00
1770,اورازون شراب,1,1,28.51,28.51,28.51,28.51,57.02
1114,اوراسين غسول للفم,1,1,35.97,35.97,35.97,35.97,71.94
715,اوراكيور جيل كبير,1,0,15.60,15.60,15.60,0.00,15.60
435,اوركابريد قطرة,1,1,27.00,27.00,27.00,27.00,54.00
1167,اوركاديكسولين قطره,2,2,20.47,20.47,40.94,40.94,81.88
434,اوركازيد قطرة,1,1,22.32,22.32,22.32,22.32,44.64
423,اورلي كبسول120مجم,1,3,177.60,59.20,177.60,177.60,355.20
425,اوروفيكس  غرغره قرنفل,0,0,62.90,62.90,0.00,0.00,0.00
429,اوروفيكس تفاح اخضر,0,0,62.90,62.90,0.00,0.00,0.00
426,اوروفيكس ديليكت,1,1,66.60,66.60,66.60,66.60,133.20
427,اوروفيكس غرغره اورنج,1,1,62.90,62.90,62.90,62.90,125.80
428,اوروفيكس غرغره نعناع,1,1,62.90,62.90,62.90,62.90,125.80
146,اورينت ان كريم,0,0,49.00,49.00,0.00,0.00,0.00
2019,اوزمو فيلا غسول للوجه,0,0,131.90,131.90,0.00,0.00,0.00
152,اوست-مات 60 م  اقراص,1,2,27.00,13.50,27.00,27.00,54.00
438,اوستيوكير اورجينال كبسول,2,3,109.50,54.75,219.00,164.25,383.25
149,اوستيوكير شراب,2,2,76.00,76.00,152.00,152.00,304.00
1386,اوف اسبراي 200 مل,0,0,151.00,151.00,0.00,0.00,0.00
2200,اوفلام 50 مجم اقراص,0,1,54.72,18.24,0.00,18.24,18.24
248,اوفيوسيديك قطره مضاد حيوى للعين,1,1,19.60,19.60,19.60,19.60,39.20
1201,اوفيونهيبيتا اقراص,1,0,43.92,43.92,43.92,0.00,43.92
252,اوكاربون اقراص,2,6,74.55,24.85,149.10,149.10,298.20
1849,اوكتا د3 نقط بالفم,0,0,36.00,36.00,0.00,0.00,0.00
1727,اوكتا د3 نقط فم,0,0,51.75,51.75,0.00,0.00,0.00
430,اوكتاترون كبسول,0,2,80.94,26.98,0.00,53.96,53.96
1525,اوكساليبتال 300مجم اقراص,0,0,142.20,47.40,0.00,0.00,0.00
203,اوكسيمت 5جرام نقط للانف كبار,2,2,11.01,11.01,22.02,22.02,44.04
200,اوكسيمت نقط للاطفال25 جرام,2,2,11.01,11.01,22.02,22.02,44.04
261,اولفن جيل كبير,2,2,33.33,33.33,66.66,66.66,133.32
890,اولفنت شراب,2,2,24.96,24.96,49.92,49.92,99.84
1641,اولوبات قطره للعين,1,1,13.95,13.95,13.95,13.95,27.90
2038,اولوهيستين فورت قطره للعين,0,0,20.88,20.88,0.00,0.00,0.00
201,اولوهيستين قطره للعين,0,0,16.73,16.73,0.00,0.00,0.00
997,اولويز س الوفيرا طويل  جدا,0,0,27.00,27.00,0.00,0.00,0.00
996,اولويز سنجل ط جدا,0,0,27.00,27.00,0.00,0.00,0.00
995,اولويز سنجل طويل جدا,1,1,27.00,27.00,27.00,27.00,54.00
189,اومنيفورا حقن,0,6,93.97,11.75,0.00,70.48,70.48
1605,اومنيك اوكاس % 0.4 مجم اقراص,0,0,228.40,76.13,0.00,0.00,0.00
844,اوميجا 3 شراب,1,1,95.44,95.44,95.44,95.44,190.88
238,اوميجا 3بلس مكمل غذائى,3,9,110.00,36.67,330.00,330.00,660.00
2283,اوميجا د3 اقراص,1,3,101.00,33.67,101.00,101.00,202.00
845,اوميجا زاد شراب,1,1,88.10,88.10,88.10,88.10,176.20
1908,اوميجابرس 0.2مجم اقراص,0,0,294.20,98.07,0.00,0.00,0.00
2157,اوميجاكف شراب,1,1,43.48,43.48,43.48,43.48,86.96
207,اوميز 10 جرام  اقراص,1,2,29.36,14.68,29.36,29.36,58.72
187,اوميز 20 اقراص,0,2,41.11,20.56,0.00,41.11,41.11
192,اوميز 40 جرام اقراص,0,1,95.44,47.72,0.00,47.72,47.72
2276,اوميز 40 فيال,1,1,55.00,55.00,55.00,55.00,110.00
1115,اوندالينز 4مجم لزقه للفم,0,4,117.47,23.49,0.00,93.98,93.98
1397,اى بيتش صغار,10,10,1.20,1.20,12.00,12.00,24.00
1398,اى بيتش كبار,10,10,1.25,1.25,12.50,12.50,25.00
1174,ايبكوتيل 20 مجم اقماع شرجيه,1,5,13.65,2.73,13.65,13.65,27.30
963,ايتوبرايد 50مجم,1,5,37.80,12.60,37.80,63.00,100.80
2320,ايراستابكس بلس 40/12.5 اقراص,1,3,75.16,25.05,75.16,75.16,150.32
